Identifier	Synonym
Cre08.g372050	
Cre08.g372350	FAP188
Cre08.g385350	
Cre08.g358528	FAP157
Cre08.g373341	
Cre08.g384650	
Cre08.g378700	
Cre08.g361250	
Cre08.g373374	
Cre08.g362950	
Cre08.g376000	
Cre08.g366676	
Cre08.g384950	
Cre08.g363300	
Cre08.g366101	
Cre08.g373400	CSU6
Cre08.g365900	LHCSR1
Cre08.g380700	
Cre08.g362250	
Cre08.g362776	
Cre08.g373840	
Cre08.g363700	
Cre08.g382400	
Cre08.g384700	DMA3
Cre08.g381850	
Cre08.g365150	FAP320
Cre08.g373726	
Cre08.g379550	PHT4
Cre08.g360350	ADI1
Cre08.g365200	FAP321
Cre08.g361350	
Cre08.g368850	
Cre08.g370350	
Cre08.g361000	
Cre08.g363837	POLG1X
Cre08.g370401	CYCB1
Cre08.g360500	ERM2
Cre08.g364501	
Cre08.g373802	
Cre08.g367400	LHCSR3.2
Cre08.g358600	
Cre08.g386000	
Cre08.g379900	
Cre08.g376740	
Cre08.g382560	ELG39
Cre08.g373359	
Cre08.g384150	
Cre08.g362000	FAP72
Cre08.g377950	
Cre08.g383500	
Cre08.g380400	MAD2
Cre08.g373050	BCC3
Cre08.g361200	ODA10
Cre08.g381516	
Cre08.g358576	
Cre08.g381900	
Cre08.g379175	
Cre08.g359900	
Cre08.g358543	
Cre08.g365065	FAP318
Cre08.g379850	
Cre08.g381702	
Cre08.g359300	PHO1
Cre08.g379350	TPT1
Cre08.g382590	
Cre08.g367650	MUT11
Cre08.g358536	
Cre08.g359950	
Cre08.g373367	
Cre08.g377400	
Cre08.g365141	CSE6
Cre08.g379187	
Cre08.g368100	
Cre08.g363383	
Cre08.g375751	
Cre08.g373343	
Cre08.g360900	RPS15
Cre08.g363750	
Cre08.g376350	ASF1
Cre08.g375850	
Cre08.g358578	
Cre08.g381100	
Cre08.g358537	
Cre08.g369700	
Cre08.g374400	
Cre08.g384628	
Cre08.g362036	
Cre08.g374650	DII3
Cre08.g369150	
Cre08.g373500	
Cre08.g363950	
Cre08.g383650	
Cre08.g361551	
Cre08.g362700	smm30
Cre08.g381300	
Cre08.g358572	
Cre08.g385600	
Cre08.g360400	ERM1
Cre08.g371700	
Cre08.g365500	
Cre08.g358850	FAP386
Cre08.g373878	
Cre08.g382200	
Cre08.g358524	
Cre08.g362750	
Cre08.g363100	
Cre08.g360050	DUR1
Cre08.g359650	
Cre08.g358557	
Cre08.g360550	ERM3
Cre08.g378300	
Cre08.g372850	
Cre08.g373688	
Cre08.g358560	
Cre08.g372300	
Cre08.g366800	
Cre08.g358300	
Cre08.g373225	
Cre08.g384285	
Cre08.g365100	FAP242
Cre08.g376800	
Cre08.g362076	
Cre08.g367876	
Cre08.g366600	
Cre08.g369976	
Cre08.g372200	
Cre08.g363450	
Cre08.g370083	
Cre08.g373421	
Cre08.g358616	FAP398
Cre08.g364550	
Cre08.g373365	
Cre08.g363874	
Cre08.g370950	
Cre08.g367200	VPS52
Cre08.g371957	RAPTOR
Cre08.g371840	
Cre08.g380800	
Cre08.g373353	
Cre08.g382689	UBQ4
Cre08.g358531	
Cre08.g372900	VFL1
Cre08.g369900	
Cre08.g368050	
Cre08.g360100	DUR2
Cre08.g361600	
Cre08.g383000	
Cre08.g382500	RPS25
Cre08.g365000	
Cre08.g373345	
Cre08.g374700	FAP244
Cre08.g378750	
Cre08.g369550	
Cre08.g359350	CARB1
Cre08.g377550	
Cre08.g364950	FAP317
Cre08.g380650	
Cre08.g375084	
Cre08.g379450	
Cre08.g376300	
Cre08.g380201	SHKD1
Cre08.g358583	
Cre08.g373368	
Cre08.g358523	
Cre08.g358577	
Cre08.g360001	
Cre08.g371650	TATB
Cre08.g385700	SNAPG1
Cre08.g373342	
Cre08.g372800	
Cre08.g380000	UMM7
Cre08.g377350	FAP180
Cre08.g365550	
Cre08.g362050	FAP49
Cre08.g358558	
Cre08.g358538	
Cre08.g364000	
Cre08.g358571	cyg70
Cre08.g359700	LAS1
Cre08.g369050	
Cre08.g373357	
Cre08.g375350	
Cre08.g381950	TAR1
Cre08.g374350	
Cre08.g381050	CEP8
Cre08.g382900	
Cre08.g358530	OPR113
Cre08.g381600	
Cre08.g364250	
Cre08.g368250	
Cre08.g384000	CYP771A1
Cre08.g362500	
Cre08.g358546	
Cre08.g372450	PSBQ
Cre08.g375450	
Cre08.g365450	
Cre08.g367850	
Cre08.g382950	
Cre08.g358900	
Cre08.g371250	
Cre08.g363367	
Cre08.g362200	
Cre08.g373550	
Cre08.g385100	EFH5
Cre08.g385250	
Cre08.g373916	
Cre08.g359200	
Cre08.g360801	
Cre08.g363150	
Cre08.g360444	
Cre08.g365050	FAP409
Cre08.g369850	
Cre08.g358549	
Cre08.g384900	FAP356
Cre08.g370550	
Cre08.g370900	
Cre08.g376850	
Cre08.g367750	
Cre08.g369100	
Cre08.g366579	
Cre08.g360850	
Cre08.g361100	
Cre08.g372716	
Cre08.g377600	ATG14
Cre08.g373356	
Cre08.g373363	
Cre08.g373414	
Cre08.g373250	POA2
Cre08.g380763	
Cre08.g378850	RPPK1
Cre08.g358521	
Cre08.g371918	
Cre08.g358326	
Cre08.g382700	UBQ3
Cre08.g366350	
Cre08.g368650	
Cre08.g381550	
Cre08.g377850	
Cre08.g384600	
