Identifier	Synonym
Cre06.g271526	
Cre06.g275900	HON3
Cre06.g278800	
Cre06.g311700	FAP349
Cre06.g283034	
Cre06.g291400	
Cre06.g299700	SOUL1
Cre06.g262700	QCR7
Cre06.g259200	EFS1
Cre06.g295450	HPR1
Cre06.g278245	
Cre06.g277850	
Cre06.g254213	
Cre06.g252300	PDK1
Cre06.g262950	
Cre06.g306007	
Cre06.g254077	
Cre06.g261150	BIO2
Cre06.g298450	
Cre06.g263357	
Cre06.g278297	
Cre06.g283750	HST1
Cre06.g261500	CPLD58
Cre06.g300150	
Cre06.g260650	
Cre06.g278229	
Cre06.g301000	
Cre06.g278145	
Cre06.g278217	
Cre06.g282050	
Cre06.g254350	
Cre06.g278275	
Cre06.g311050	
Cre06.g278293	
Cre06.g286350	UMM6
Cre06.g265000	HTR13
Cre06.g256500	
Cre06.g258600	
Cre06.g263300	
Cre06.g275350	ROC40
Cre06.g276100	
Cre06.g261550	
Cre06.g300900	
Cre06.g271600	
Cre06.g277801	DNL7
Cre06.g263500	
Cre06.g255450	MAT3
Cre06.g276550	HTB2
Cre06.g258850	EZY7
Cre06.g286700	
Cre06.g288900	
Cre06.g278121	
Cre06.g301350	
Cre06.g283150	
Cre06.g249300	ARP5
Cre06.g309650	
Cre06.g283800	
Cre06.g297150	RWP9
Cre06.g278273	
Cre06.g273400	
Cre06.g280350	
Cre06.g278095	
Cre06.g265500	HTR11B
Cre06.g298850	LTH6
Cre06.g304876	
Cre06.g284950	
Cre06.g271750	
Cre06.g257600	FA1
Cre06.g301650	
Cre06.g253900	
Cre06.g303350	
Cre06.g277200	BIO1
Cre06.g275450	
Cre06.g263850	TPT2
Cre06.g278198	
Cre06.g256300	
Cre06.g265550	
Cre06.g255400	
Cre06.g298700	
Cre06.g300550	
Cre06.g295500	
Cre06.g284200	LHCBM9
Cre06.g296912	
Cre06.g295700	MCM3
Cre06.g298000	
Cre06.g289700	BET5
Cre06.g296750	HYDEF1
Cre06.g282300	
Cre06.g308600	
Cre06.g257351	
Cre06.g284650	MKP6
Cre06.g255626	
Cre06.g263602	
Cre06.g297600	
Cre06.g253300	
Cre06.g268650	FAP279
Cre06.g278128	
Cre06.g254800	
Cre06.g278104	
Cre06.g308850	EIF3X
Cre06.g269601	
Cre06.g278236	
Cre06.g290000	GIP1
Cre06.g290350	
Cre06.g278211	
Cre06.g280550	
Cre06.g301800	MFT19
Cre06.g269950	CDC48
Cre06.g290050	
Cre06.g263100	
Cre06.g282550	
Cre06.g279750	MAP1A
Cre06.g300800	PRPL27
Cre06.g257450	ATPVL1
Cre06.g278288	
Cre06.g281526	
Cre06.g258350	
Cre06.g278178	
Cre06.g296500	
Cre06.g269300	CGL120
Cre06.g307850	
Cre06.g303100	
Cre06.g306950	
Cre06.g278184	
Cre06.g254850	
Cre06.g251716	
Cre06.g294450	
Cre06.g262350	
Cre06.g250100	HSP70B
Cre06.g260850	NOP14
Cre06.g278950	
Cre06.g276850	HTR1
Cre06.g306726	
Cre06.g277450	
Cre06.g268750	MME1
Cre06.g310576	
Cre06.g298950	
Cre06.g272760	
Cre06.g278283	
Cre06.g285500	
Cre06.g278090	MRPL1
Cre06.g273150	
Cre06.g278138	OPR119
Cre06.g250600	
Cre06.g311300	
Cre06.g268200	TGD1
Cre06.g285700	
Cre06.g278109	
Cre06.g259850	PRPL29
Cre06.g293200	
Cre06.g256550	
Cre06.g302426	
Cre06.g264800	HTB14
Cre06.g307350	
Cre06.g257800	POL1-1
Cre06.g303751	
Cre06.g275650	RPN3
Cre06.g305650	
Cre06.g293350	
Cre06.g261650	PFD1
Cre06.g303171	
Cre06.g304500	ZYS4
Cre06.g278253	
Cre06.g253852	
Cre06.g269752	TRX15
Cre06.g282450	PHX11
Cre06.g292000	
Cre06.g251100	NMT1
Cre06.g253759	
Cre06.g294800	CPLD37
Cre06.g253566	
Cre06.g253755	
Cre06.g305000	
Cre06.g305302	
Cre06.g309826	MOT2
Cre06.g296950	
Cre06.g295150	
Cre06.g279474	MUT68
Cre06.g278585	
Cre06.g278158	PRL3
Cre06.g291800	COQ2
Cre06.g267200	NUO21
Cre06.g276450	
Cre06.g308300	
Cre06.g278242	
Cre06.g268850	
Cre06.g251951	
Cre06.g256100	
Cre06.g256850	SND1B
Cre06.g260200	MCP18
Cre06.g301550	MFT18
Cre06.g280600	GEX1
Cre06.g300250	TTL10
Cre06.g279183	
Cre06.g258566	
Cre06.g258000	
Cre06.g278500	
Cre06.g310300	
Cre06.g258733	LEU2
Cre06.g304800	
Cre06.g278258	
Cre06.g249750	
Cre06.g278170	FAP237
Cre06.g293850	CAG2
Cre06.g259600	VPS53
Cre06.g263600	
Cre06.g256750	FAT1
Cre06.g302100	
Cre06.g251650	PTC1
Cre06.g271450	
Cre06.g253250	
Cre06.g298251	
Cre06.g275250	
Cre06.g282250	
Cre06.g274150	HFO6
Cre06.g278262	
Cre06.g301725	
Cre06.g252350	CGL70
Cre06.g250200	METM
Cre06.g278152	
Cre06.g292100	
Cre06.g308150	DNJ23
Cre06.g287150	
Cre06.g300650	
Cre06.g308450	
Cre06.g278301	
Cre06.g286150	
Cre06.g276800	HFO1
Cre06.g302750	
Cre06.g284750	EFG3
Cre06.g310000	AP4E1
Cre06.g255300	CGLD28
Cre06.g292350	AOC4
Cre06.g296650	HYDG
Cre06.g304650	PIK3
Cre06.g278099	
Cre06.g278096	SELU
Cre06.g291300	
Cre06.g254250	
Cre06.g295950	
Cre06.g278127	
Cre06.g294350	
Cre06.g292550	FAP15
Cre06.g278274	
Cre06.g278150	
Cre06.g288350	
Cre06.g306150	
Cre06.g308500	CMP2
Cre06.g255350	THI10
Cre06.g273550	
Cre06.g278205	
Cre06.g251400	MME6
Cre06.g309900	MST2
Cre06.g278144	
Cre06.g265652	
Cre06.g267500	
Cre06.g298100	SUI1A
Cre06.g253902	
Cre06.g249200	ARP4
Cre06.g266250	
Cre06.g267476	
Cre06.g263450	EEF1A3
Cre06.g283050	LHCA1
Cre06.g287250	COG4
Cre06.g278900	
Cre06.g278270	
Cre06.g278243	
Cre06.g285050	
Cre06.g283450	
Cre06.g295600	RME1
Cre06.g278117	CPLD7
Cre06.g275750	HTR3
Cre06.g265100	
Cre06.g278272	
Cre06.g301201	
Cre06.g278196	
Cre06.g278189	
Cre06.g308700	
Cre06.g277700	
Cre06.g264450	AOT5
Cre06.g278294	
Cre06.g287550	
Cre06.g310950	
Cre06.g280100	
Cre06.g270276	
Cre06.g297750	SPL3
Cre06.g266383	HEL26
Cre06.g266416	
Cre06.g274250	HTB6
Cre06.g277250	
Cre06.g278133	
Cre06.g266700	HTA11
Cre06.g252892	MTA4A
Cre06.g278219	SSA6
Cre06.g267300	
Cre06.g272000	
Cre06.g304100	
Cre06.g278234	FAP343
Cre06.g270050	
Cre06.g311550	
Cre06.g278213	LHCA6
Cre06.g285900	FAP396
Cre06.g305400	
Cre06.g257601	PRX1
Cre06.g278201	
Cre06.g297700	
Cre06.g271188	
Cre06.g292249	PHC50
Cre06.g305500	
Cre06.g311200	MFT21
Cre06.g275050	GGH2
Cre06.g257900	
Cre06.g258500	
Cre06.g252743	
Cre06.g310650	
Cre06.g309550	
Cre06.g278088	HAV3
Cre06.g300300	
Cre06.g269850	
Cre06.g273950	HFO7
Cre06.g284150	RHP2
Cre06.g254650	
Cre06.g291900	PHD1
Cre06.g265400	HTB12
Cre06.g267450	
Cre06.g278140	
Cre06.g272850	PRPL10
Cre06.g281750	
Cre06.g288908	
Cre06.g285600	RWP5
Cre06.g266300	
Cre06.g250800	CRB1
Cre06.g304150	
Cre06.g294200	
Cre06.g248900	
Cre06.g273350	
Cre06.g278203	
Cre06.g297082	cya17
Cre06.g261750	
Cre06.g278111	
Cre06.g283900	
Cre06.g253753	
Cre06.g254150	UTP1
Cre06.g307250	
Cre06.g257167	
Cre06.g268050	HTA10
Cre06.g286600	
Cre06.g260400	FAP287
Cre06.g262250	AP1M1
Cre06.g276250	
Cre06.g256050	
Cre06.g264100	
Cre06.g299926	
Cre06.g260550	CYG1
Cre06.g276371	
Cre06.g281450	SRR22
Cre06.g278256	RPN8
Cre06.g288050	MGTE
Cre06.g290250	
Cre06.g278186	
Cre06.g306650	
Cre06.g251300	SMP6B
Cre06.g291650	FDX11
Cre06.g308400	PTN1
Cre06.g255700	
Cre06.g287050	
Cre06.g280800	
Cre06.g289900	HEN2
Cre06.g263950	
Cre06.g282500	RPL23A
Cre06.g281200	
Cre06.g285800	
Cre06.g275550	RWP2
Cre06.g304000	
Cre06.g268550	CSL1
Cre06.g279600	
Cre06.g253850	
Cre06.g278165	mmp28
Cre06.g278142	
Cre06.g296600	RFS1
Cre06.g254232	
Cre06.g269400	
Cre06.g302350	
Cre06.g258950	
Cre06.g270600	
Cre06.g289400	PDE11
Cre06.g311450	
Cre06.g260100	
Cre06.g260950	
Cre06.g253757	
Cre06.g259300	EFS2
Cre06.g284550	
Cre06.g305750	
Cre06.g263000	
Cre06.g305450	
Cre06.g263900	
Cre06.g250567	
Cre06.g296800	
Cre06.g278163	ARG9
Cre06.g289050	
Cre06.g280385	
Cre06.g282950	
Cre06.g253800	
Cre06.g264250	
Cre06.g251550	SPP1C
Cre06.g309684	
Cre06.g265250	HTR12
Cre06.g274400	
Cre06.g310750	COPG1
Cre06.g309951	
Cre06.g249150	MAPKK1
Cre06.g278156	
Cre06.g271050	URN1
Cre06.g304400	SOUL4
Cre06.g294250	PHC49
Cre06.g274750	HTB4
Cre06.g256200	HAT3
Cre06.g278400	
Cre06.g306079	
Cre06.g249050	
Cre06.g271950	GC6
Cre06.g278115	
Cre06.g270150	MCP13
Cre06.g305850	smm20
Cre06.g278261	
Cre06.g295350	
Cre06.g261000	PSBR
Cre06.g294950	ENR1
Cre06.g292183	CAM13
Cre06.g287000	
Cre06.g294876	
Cre06.g260750	CYG23
Cre06.g255250	
Cre06.g261900	FAP71
Cre06.g302500	
Cre06.g265200	HFO12
Cre06.g258550	
Cre06.g278228	
Cre06.g278206	
Cre06.g284850	
Cre06.g276750	
Cre06.g278750	UCP1
Cre06.g278119	
Cre06.g278175	
Cre06.g301050	ARL13
Cre06.g275850	HTA3
Cre06.g284350	CYCD3
Cre06.g249950	
Cre06.g296050	FMO6
Cre06.g287750	PYR8
Cre06.g269050	TIC62
Cre06.g278194	FAP236
Cre06.g278087	
Cre06.g257183	
Cre06.g311850	HAD1
Cre06.g272900	AOF3
Cre06.g260450	LCI20
Cre06.g283500	
Cre06.g294500	
Cre06.g307075	
Cre06.g310850	
Cre06.g266600	HFO11
Cre06.g271550	
Cre06.g274900	HFO4
Cre06.g287650	
Cre06.g296250	SYK1
Cre06.g275200	
Cre06.g278193	
Cre06.g249600	
Cre06.g292450	PUS13
Cre06.g281000	
Cre06.g266350	
Cre06.g253758	
Cre06.g275600	
Cre06.g298802	
Cre06.g299350	FBB15
Cre06.g293516	DEGO2
Cre06.g280150	PSBP9
Cre06.g270550	
Cre06.g288252	
Cre06.g259350	
Cre06.g281700	
Cre06.g304550	PAR1
Cre06.g259750	
Cre06.g282850	
Cre06.g301951	
Cre06.g269908	
Cre06.g279100	DPY30
Cre06.g305700	
Cre06.g297450	
Cre06.g299050	DGTT3
Cre06.g272400	
Cre06.g278277	
Cre06.g309450	
Cre06.g298326	
Cre06.g287950	
Cre06.g306250	
Cre06.g271350	HTA8
Cre06.g248800	
Cre06.g252000	LZTFL1
Cre06.g251150	OHP2
Cre06.g250902	METH
Cre06.g257750	
Cre06.g265800	PRPL28
Cre06.g267600	LCYE
Cre06.g296350	ULP1
Cre06.g278102	
Cre06.g281250	CFA1
Cre06.g278238	
Cre06.g273450	
Cre06.g281300	
Cre06.g266052	
Cre06.g291050	
Cre06.g302276	
Cre06.g309150	ROC56
Cre06.g285350	
Cre06.g307150	AMB1
Cre06.g288800	
Cre06.g253853	
Cre06.g272200	
Cre06.g308100	
Cre06.g279350	
Cre06.g289800	CAM12
Cre06.g306550	
Cre06.g274600	
Cre06.g270700	
Cre06.g299850	HLM10
Cre06.g249650	CGL55
Cre06.g302850	
Cre06.g303950	
Cre06.g259450	
Cre06.g278187	MOT4
Cre06.g297850	DHC12
Cre06.g301300	
Cre06.g278151	
Cre06.g250300	DHC16
Cre06.g278279	
Cre06.g301450	
Cre06.g278105	
Cre06.g263800	
Cre06.g291250	
Cre06.g299500	
Cre06.g255100	
Cre06.g279550	
Cre06.g307500	LCIC
Cre06.g263250	
Cre06.g278298	
Cre06.g258150	
Cre06.g278850	MND1
Cre06.g255900	
Cre06.g288550	ECP76
Cre06.g276150	
Cre06.g302950	
Cre06.g280900	VTI2
Cre06.g286000	
Cre06.g293000	PRI2
Cre06.g307700	
Cre06.g261400	
Cre06.g285250	LHCBM6
Cre06.g260800	
Cre06.g310450	
Cre06.g278169	
Cre06.g262800	
Cre06.g303700	
Cre06.g257100	
Cre06.g267050	
Cre06.g265750	
Cre06.g254200	
Cre06.g267800	MCP8
Cre06.g259050	
Cre06.g298150	
Cre06.g288400	MRPS11
Cre06.g296150	
Cre06.g250400	CSB28
Cre06.g309000	NAR1.2
Cre06.g253679	
Cre06.g286500	
Cre06.g282800	ICL1
Cre06.g278208	
Cre06.g266950	
Cre06.g278125	
Cre06.g263150	
Cre06.g303536	
Cre06.g278215	
Cre06.g284450	
Cre06.g255150	
Cre06.g266800	
Cre06.g255600	EZY1A
Cre06.g285926	
Cre06.g278113	
Cre06.g278266	
Cre06.g278214	
Cre06.g301802	
Cre06.g310200	
Cre06.g253903	
Cre06.g248950	
Cre06.g252600	
Cre06.g278166	PRL4
Cre06.g309850	
Cre06.g262000	SNR5
Cre06.g307800	CYN49
Cre06.g252913	
Cre06.g297950	
Cre06.g246958	
Cre06.g274994	
Cre06.g268450	
Cre06.g307600	
Cre06.g252200	TOC34
Cre06.g278254	
Cre06.g297904	
Cre06.g252100	
Cre06.g278259	
Cre06.g269150	
Cre06.g294050	
Cre06.g305950	CSB32
Cre06.g265350	HTA12
Cre06.g278268	
Cre06.g308950	
Cre06.g298550	FMO7
Cre06.g289500	
Cre06.g278122	
Cre06.g264200	SDH2
Cre06.g292800	UBC17
Cre06.g260000	
Cre06.g286800	HBP1
Cre06.g286900	
Cre06.g278173	OPR59
Cre06.g310545	
Cre06.g311750	
Cre06.g285451	
Cre06.g262050	AEP1
Cre06.g295250	
Cre06.g276050	
Cre06.g267950	HTR10
Cre06.g293700	MRPL7
Cre06.g296450	
Cre06.g300700	
Cre06.g301850	
Cre06.g292900	
Cre06.g292216	
Cre06.g281100	MUT9
Cre06.g304300	POA6
Cre06.g278103	
Cre06.g281800	
Cre06.g303050	NIT3
Cre06.g277100	
Cre06.g275950	FAP395
Cre06.g305516	
Cre06.g272550	
Cre06.g258700	PYC1
Cre06.g257550	UCP2
Cre06.g273000	
Cre06.g291150	HEL29
Cre06.g280227	
Cre06.g299476	
Cre06.g278135	RPL21
Cre06.g306350	FDX3
Cre06.g303251	
Cre06.g311100	
Cre06.g278182	
Cre06.g253756	
Cre06.g287400	
Cre06.g297250	
Cre06.g278650	
Cre06.g272100	
Cre06.g264350	PRPL13
Cre06.g278231	
Cre06.g278108	
Cre06.g279000	PBA1
Cre06.g270000	
Cre06.g271650	
Cre06.g295100	
Cre06.g250500	
Cre06.g288100	
Cre06.g296900	
Cre06.g257850	
Cre06.g278276	
Cre06.g254450	
Cre06.g276600	HTR2
Cre06.g293362	
Cre06.g262750	
Cre06.g278132	
Cre06.g280000	
Cre06.g300450	
Cre06.g305250	
Cre06.g290200	CYG39
Cre06.g278241	
Cre06.g283634	
Cre06.g274101	HTR6
Cre06.g272475	
Cre06.g290500	
Cre06.g295650	
Cre06.g300966	
Cre06.g270350	AMB2
Cre06.g292700	
Cre06.g264900	HTB13
Cre06.g278191	
Cre06.g278289	
Cre06.g306850	HEL31
Cre06.g283300	
Cre06.g303483	
Cre06.g291500	RWP6
Cre06.g268925	
Cre06.g280300	
Cre06.g271850	
Cre06.g304850	
Cre06.g261200	ERG5
Cre06.g287350	
Cre06.g278224	MRPL16
Cre06.g280475	
Cre06.g276400	
Cre06.g290950	RPS5
Cre06.g253851	
Cre06.g265900	
Cre06.g262450	VTE7
Cre06.g294150	
Cre06.g300100	PIGL
Cre06.g266150	
Cre06.g250950	
Cre06.g270850	
Cre06.g282350	
Cre06.g278221	TPS1
Cre06.g260350	DNJ6
Cre06.g255500	
Cre06.g253200	PKY1
Cre06.g256900	SND1C
Cre06.g286100	
Cre06.g252750	FUS1
Cre06.g277000	
Cre06.g262550	
Cre06.g253404	Pr46b
Cre06.g287850	
Cre06.g289150	MTP5
Cre06.g303850	
Cre06.g259150	EFG8
Cre06.g251000	
Cre06.g272350	
Cre06.g278200	ROC66
Cre06.g304950	
Cre06.g302200	EFH3
Cre06.g308200	
Cre06.g268976	
Cre06.g278251	
Cre06.g278161	mmp26
Cre06.g254224	
Cre06.g278210	GPM1
Cre06.g253600	
Cre06.g262900	PFK1
Cre06.g258363	
Cre06.g311400	
Cre06.g257000	SULP3
Cre06.g270800	
Cre06.g267150	
Cre06.g257250	BBS2
Cre06.g278180	
Cre06.g279250	PYM1
Cre06.g252401	
Cre06.g259500	CYG2
Cre06.g286300	COQ5B
Cre06.g263750	
Cre06.g309300	
Cre06.g282651	TRX16
Cre06.g308000	FAP331
Cre06.g266450	
Cre06.g267700	SPP1B
Cre06.g273413	
Cre06.g264550	CGL81
Cre06.g278167	
Cre06.g303600	
Cre06.g280750	
Cre06.g306028	
Cre06.g309100	CPN60C
Cre06.g258051	NCL2
Cre06.g279850	
Cre06.g256650	
Cre06.g310100	
Cre06.g282150	CNX1G
Cre06.g279900	VFL3
Cre06.g251850	
Cre06.g254917	SAD1:3frag
Cre06.g299100	
Cre06.g261050	
Cre06.g278147	
Cre06.g288650	
Cre06.g278281	
Cre06.g252700	
Cre06.g274500	
Cre06.g283950	LHCBM4
Cre06.g273750	SABC
Cre06.g262200	
Cre06.g278092	
Cre06.g249500	DMC7
Cre06.g302650	
Cre06.g281600	LCI23
Cre06.g281900	ZIP7
Cre06.g267250	MKP2
Cre06.g278179	
Cre06.g276900	HTB1
Cre06.g260600	
Cre06.g278129	
Cre06.g257400	
Cre06.g258400	
Cre06.g253789	
Cre06.g304050	PKC1
Cre06.g254052	
Cre06.g257300	
Cre06.g297049	
Cre06.g283100	FAP85
Cre06.g275700	HFO3
Cre06.g277300	
Cre06.g266650	HTR11
Cre06.g279700	
Cre06.g279500	CPL6
Cre06.g269250	
Cre06.g265050	HFO13
Cre06.g277500	
Cre06.g274000	HTR7
Cre06.g256000	
Cre06.g268600	NAB1
Cre06.g272150	
Cre06.g292282	
Cre06.g259900	ATPC
Cre06.g251750	
Cre06.g278183	
Cre06.g310550	HY5
Cre06.g260900	
Cre06.g293300	
Cre06.g287500	
Cre06.g306035	
Cre06.g299450	
Cre06.g300326	
Cre06.g288600	
Cre06.g306700	
Cre06.g263650	
Cre06.g307450	SPL1
Cre06.g281500	OPR25
Cre06.g278287	
Cre06.g278091	
Cre06.g308900	TOB55
Cre06.g285550	
Cre06.g284700	AAT2
Cre06.g258300	
Cre06.g278126	
Cre06.g273900	HTA7
Cre06.g248850	
Cre06.g287100	CAM11
Cre06.g250250	ATPVC
Cre06.g297516	
Cre06.g274700	OTU4
Cre06.g270100	SBE2
Cre06.g270750	
Cre06.g302050	GSL2
Cre06.g298880	
Cre06.g303150	PTK4
Cre06.g311250	
Cre06.g250976	
Cre06.g293582	
Cre06.g259550	
Cre06.g262977	
Cre06.g284376	
Cre06.g250750	
Cre06.g290100	SYP6
Cre06.g278164	mmp27
Cre06.g278239	SRS7
Cre06.g261700	
Cre06.g262400	
Cre06.g278137	
Cre06.g291850	
Cre06.g289950	HEL28
Cre06.g307900	FAP141
Cre06.g268800	IFT139
Cre06.g282600	HEL27
Cre06.g278110	
Cre06.g302600	
Cre06.g251683	PTC1
Cre06.g306450	
Cre06.g279650	OPR24
Cre06.g285750	
Cre06.g307400	CCR5
Cre06.g279216	
Cre06.g269550	COQ9
Cre06.g299150	PHC26
Cre06.g284400	
Cre06.g308650	
Cre06.g286550	
Cre06.g256400	
Cre06.g269700	
Cre06.g253582	
Cre06.g305150	
Cre06.g254275	
Cre06.g268228	
Cre06.g297550	
Cre06.g296550	FMO3
Cre06.g310150	
Cre06.g278159	
Cre06.g276350	
Cre06.g288950	
Cre06.g293800	ARS16
Cre06.g267900	
Cre06.g299750	
Cre06.g298750	AOT4
Cre06.g278284	
Cre06.g273650	
Cre06.g295200	CPH1
Cre06.g278230	
Cre06.g294100	
Cre06.g294700	
Cre06.g278207	
Cre06.g278227	
Cre06.g256350	
Cre06.g289426	CSB29
Cre06.g278282	
Cre06.g282000	STA3
Cre06.g249850	
Cre06.g282251	
Cre06.g300933	
Cre06.g286400	
Cre06.g300350	
Cre06.g261600	
Cre06.g289100	
Cre06.g270400	
Cre06.g256800	SND1A
Cre06.g301600	MAN2
Cre06.g260250	CEM1
Cre06.g291450	
Cre06.g278269	
Cre06.g302700	
Cre06.g306000	GOX3
Cre06.g272650	LHCA8
Cre06.g252550	DLA3
Cre06.g278252	GOX18
Cre06.g264050	
Cre06.g290850	
Cre06.g297200	FAP108
Cre06.g262100	GSR1
Cre06.g286650	DMC4
Cre06.g281150	
Cre06.g278120	
Cre06.g298225	
Cre06.g278300	
Cre06.g278700	
Cre06.g285001	
Cre06.g291950	MRS4
Cre06.g275400	
Cre06.g249350	DMC3
Cre06.g273600	RPS27A
Cre06.g263550	LCI7
Cre06.g278295	
Cre06.g289650	
Cre06.g291100	
Cre06.g294301	
Cre06.g301750	
Cre06.g253901	
Cre06.g264650	HTR14
Cre06.g266100	
Cre06.g252850	
Cre06.g288850	
Cre06.g311500	
Cre06.g258900	
Cre06.g283826	
Cre06.g273050	CGLD10
Cre06.g299650	CLPR6
Cre06.g278171	CGL132
Cre06.g298500	
Cre06.g296700	HYDG1
Cre06.g284726	
Cre06.g278226	
Cre06.g276759	
Cre06.g287176	CPLD67
Cre06.g300144	
Cre06.g301325	
Cre06.g278202	
Cre06.g298050	
Cre06.g304750	
Cre06.g253051	MTA3A
Cre06.g278296	
Cre06.g303400	ADF3
Cre06.g257950	AST4
Cre06.g300500	
Cre06.g278248	
Cre06.g296924	
Cre06.g264400	
Cre06.g304700	
Cre06.g283200	
Cre06.g278235	
Cre06.g306750	FAP290
Cre06.g249400	
Cre06.g300001	
Cre06.g277150	
Cre06.g264950	HTA13
Cre06.g263400	
Cre06.g271200	PNO1
Cre06.g250850	MSH1
Cre06.g289600	
Cre06.g271400	PGP3
Cre06.g278188	NUOB18
Cre06.g272050	PGM1
Cre06.g302389	
Cre06.g273250	
Cre06.g284250	LHCBM8
Cre06.g281766	
Cre06.g278185	UGD2
Cre06.g267350	
Cre06.g297650	
Cre06.g274300	HFO5
Cre06.g269801	
Cre06.g284100	RHP1
Cre06.g311650	IRK1
Cre06.g278291	
Cre06.g269350	
Cre06.g255650	EZY1B
Cre06.g278264	
Cre06.g295550	
Cre06.g305251	
Cre06.g252871	MTA5
Cre06.g309750	
Cre06.g275500	
Cre06.g296983	
Cre06.g298911	
Cre06.g268700	
Cre06.g266276	
Cre06.g258226	
Cre06.g289033	
Cre06.g285401	FAP355
Cre06.g284600	RBD2
Cre06.g289850	SBE1
Cre06.g277550	
Cre06.g257476	
Cre06.g309500	OPR28
Cre06.g258450	
Cre06.g254240	
Cre06.g308533	PSRP6
Cre06.g278089	
Cre06.g288000	
Cre06.g279450	
Cre06.g273300	TST1
Cre06.g275000	
Cre06.g305600	ADH9
Cre06.g278280	
Cre06.g271150	FAP74
Cre06.g275300	
Cre06.g278204	
Cre06.g271700	
Cre06.g307012	
Cre06.g278212	CGL46
Cre06.g310601	
Cre06.g280050	XRN1
Cre06.g290400	HDA5
Cre06.g286200	
Cre06.g270650	MRPL43
Cre06.g278600	
Cre06.g268150	CNK3
Cre06.g279976	
Cre06.g306601	ANS1
Cre06.g272800	RPS8
Cre06.g251250	HKR3
Cre06.g302450	
Cre06.g280850	PBG1
Cre06.g254600	
Cre06.g261123	
Cre06.g285850	
Cre06.g307300	ANT2
Cre06.g261800	PRD1
Cre06.g288750	CBP20
Cre06.g294776	
Cre06.g291600	ETK1
Cre06.g278141	
Cre06.g304450	
Cre06.g278112	
Cre06.g293250	
Cre06.g283850	
Cre06.g263050	EFP2
Cre06.g265950	DHC3
Cre06.g254002	
Cre06.g299250	
Cre06.g299950	
Cre06.g264000	
Cre06.g264300	PRPS15
Cre06.g293100	
Cre06.g303500	
Cre06.g278139	
Cre06.g293900	
Cre06.g292150	
Cre06.g276300	
Cre06.g277400	
Cre06.g278124	
Cre06.g251900	ALB3.1
Cre06.g259250	
Cre06.g262650	TAA1
Cre06.g270200	
Cre06.g286450	
Cre06.g260500	
Cre06.g281400	NAH1
Cre06.g298400	FAP224
Cre06.g268501	
Cre06.g260150	FAP393
Cre06.g256150	
Cre06.g302305	
Cre06.g251050	
Cre06.g307551	
Cre06.g306014	
Cre06.g305050	CGL45
Cre06.g259800	CWC22
Cre06.g260976	
Cre06.g278177	DNL6
Cre06.g261450	
Cre06.g295400	MCP11
Cre06.g290676	PHC48
Cre06.g300600	
Cre06.g271500	
Cre06.g250650	DRP4
Cre06.g278246	
Cre06.g278263	
Cre06.g300200	
Cre06.g278195	
Cre06.g278097	RAE1
Cre06.g277750	
Cre06.g311000	FBT2
Cre06.g283400	CGL101
Cre06.g289350	
Cre06.g266900	
Cre06.g301700	
Cre06.g283000	CGLD39
Cre06.g250550	
Cre06.g253550	
Cre06.g292050	MMP21
Cre06.g279150	TSD2
Cre06.g301500	
Cre06.g259650	MPA7
Cre06.g258800	GP2
Cre06.g251600	EIF5B2
Cre06.g291350	
Cre06.g274800	HTA4
Cre06.g262300	CYN51
Cre06.g289550	RPL32
Cre06.g284000	
Cre06.g254500	
Cre06.g256450	FAP119
Cre06.g291200	
Cre06.g261026	
Cre06.g270950	
Cre06.g291700	RSP3
Cre06.g306900	SRR9
Cre06.g278153	
Cre06.g278233	OPR60
Cre06.g274650	NUOAF4
Cre06.g292650	ROC93
Cre06.g299600	ZIP6
Cre06.g295826	
Cre06.g276700	
Cre06.g271100	CDKG1
Cre06.g284800	
Cre06.g267400	
Cre06.g306200	
Cre06.g272300	CPLD57
Cre06.g287200	
Cre06.g285100	
Cre06.g278176	
Cre06.g266200	
Cre06.g272750	
Cre06.g270500	
Cre06.g271376	HTB8
Cre06.g301150	
Cre06.g292500	CYN23
Cre06.g310050	CPL13
Cre06.g273200	
Cre06.g292315	
Cre06.g284300	
Cre06.g310350	
Cre06.g311600	RFK3
Cre06.g298650	EIF4A
Cre06.g293450	
Cre06.g290550	
Cre06.g304600	
Cre06.g265450	HFO11B
Cre06.g278271	
Cre06.g294600	
Cre06.g282200	SNF7
Cre06.g251450	NIC7
Cre06.g300850	
Cre06.g280650	CGL59
Cre06.g249800	
Cre06.g278218	
Cre06.g272450	MBI1
Cre06.g278094	ELG14
Cre06.g265602	
Cre06.g249250	RPL7AE
Cre06.g310276	
Cre06.g293150	PGM12
Cre06.g264500	
Cre06.g280500	
Cre06.g303192	
Cre06.g289750	CYCD2
Cre06.g306050	
Cre09.g392356	
Cre09.g393750	
Cre09.g413450	
Cre09.g413050	
Cre09.g399912	
Cre09.g398660	
Cre09.g398700	CPLD27
Cre09.g415050	
Cre09.g396600	HYDA2
Cre09.g416400	
Cre09.g409250	GTR24
Cre09.g402041	
Cre09.g411800	
Cre09.g396900	
Cre09.g396176	
Cre09.g403250	
Cre09.g389652	
Cre09.g399909	
Cre09.g388615	
Cre09.g403293	FCL1
Cre09.g390604	
Cre09.g416150	ASA7
Cre09.g401293	SULTR3
Cre09.g407501	
Cre09.g389700	MFT24
